Name,Company,Linkedin
Shylla Pramadhani,Finku,http://linkedin.com/in/shylla
Duc Pham,Marathon Education,https://sg.linkedin.com/in/duc-pham-b22b21101
Tung Tran,Marathon Education,https://www.linkedin.com/in/tranviettung/
Grace Sai,Unravel Carbon,https://www.linkedin.com/in/gracesai/
Marc Allen,Unravel Carbon,https://www.linkedin.com/in/marc-allen-90697227/
Daniel van Leeuwen,PINA,https://www.linkedin.com/in/dan-van-leeuwen-7429104/
Christian Hermawan,PINA,http://linkedin.com/in/christian-hermawan-26293952
Fajar Kuntoro,PINA,https://www.linkedin.com/in/fajar-kuntoro-35860354/
Hendry Chou,PINA,https://www.linkedin.com/in/hendry-chou-42251125/
Youmin Kim,Take App,https://www.linkedin.com/in/youmin/
Sinan Ismail,Durioo,https://www.linkedin.com/in/sinanismail/
Phi Dang,Cera,https://www.linkedin.com/in/phil-dang-07631648/
Phuoc Tran,Anfin,https://www.linkedin.com/in/phuoc-tran-b9979611/
Yee Meng (Daniel) Chua,Power to the Brand,https://www.linkedin.com/in/yee-meng-chua-6845a990/
Rasmus Chow,Power to the Brand,https://www.linkedin.com/in/rasmuschow/
Baran Özkan,Flagright,https://www.linkedin.com/in/baranozkan/
Madhu G Nadig,Flagright,https://www.linkedin.com/in/madhugnadig/
Robert Huynh,Reforged Labs,https://www.linkedin.com/in/huynhrobert/
Ivan Darmawan,Bakool,https://www.linkedin.com/in/ivan-darmawan-850887b1/
Stephanie Wongsoredjo,Bakool,https://www.linkedin.com/in/stephanie-wongsoredjo/
Nadia Amalia,Sribuu,https://www.linkedin.com/in/nadiaamalia/
Nadia Fadhila,Sribuu,https://www.linkedin.com/in/nadia-fadhila-b9ba4675
Fransisca Susan,Sribuu,https://www.linkedin.com/in/fransisca-susan-32a634b1/
Wafa Taftazani,UpBanx,https://www.linkedin.com/in/wafataftazani/
Alif Jafar Fatkhurrohman,UpBanx,https://linkedin.com/in/alifjafar
Hendri Wijaya,UpBanx,http://linkedin.com/in/hendri-wijaya-b556901a5
Dominic Sumarli,Whiz,https://www.linkedin.com/in/dominicsumarli/
Agnes Lie,Whiz,https://www.linkedin.com/in/agneswlie/
Frederick Widjaja,Whiz,https://www.linkedin.com/in/frw/
Chandni Chainani,Dropezy,https://www.linkedin.com/in/chandni-chainani/
Nitish Chellaram,Dropezy,https://www.linkedin.com/in/niteshchellaram/
Ammar Roslizar,Yezza,https://www.linkedin.com/in/ammarroslizar/
Wan Aizuddin,Yezza,https://www.linkedin.com/in/wan-mohd-aizuddin-wan-mohamad-667158122/
Yih Lin Teh,bipi,https://www.linkedin.com/in/yih-lin-teh/
David Chew,bipi,https://www.linkedin.com/in/david-chew-ab5a5336/
Edo Windratno,Transfez,https://www.linkedin.com/in/edowindratno/
Bondan Herumurti,Transfez,https://www.linkedin.com/in/bondanherumurti/
Saurabh Chauhan,Peakflo,https://www.linkedin.com/in/saurabh-chauhan/
Dmitry Vedenyapin,Peakflo,https://www.linkedin.com/in/dmitryvedenyapin/
Aswin Andrison,TazkerAI / Lumina,http://linkedin.com/in/aandrison
Tri Ahmad Irfan,TazkerAI / Lumina,https://www.linkedin.com/in/triahmadirfan/
Fransiskus Raymond,StafBook,https://www.linkedin.com/in/fransiskus-raymond-59b2604a/
Ghuniyu Fattah Rozaq,StafBook,https://www.linkedin.com/in/ghuniyu
Henri Suhardja,Titipku,https://id.linkedin.com/in/henri-suhardja-1881a4109
Ong Tek Tjan,Titipku,https://www.linkedin.com/in/ong-tek-tjan-533b2616/
Hamed Fesharaki,Adra,http://www.linkedin.com/in/hamedfesharaki
Liushifeng Chen,Adra,https://www.linkedin.com/in/shifeng-chen-120534219/
Yasaman Nematbakhsh,Adra,https://www.linkedin.com/in/yasaman-nemat/
Yi Sung (Sung) Yong,Atlas,https://www.linkedin.com/in/yongyisung/
Shawn Liam,Atlas,https://www.linkedin.com/in/shawnliam/
Ernest Sim,Atlas,https://www.linkedin.com/in/ernestsim/
Khairul Anwar Mohamad Zaki,Pandai,https://www.linkedin.com/in/khairul-anwar-mohamad-zaki
Akmal Akhpah,Pandai,https://www.linkedin.com/in/akmalakhpah
Suhaimi Ramly,Pandai,https://www.linkedin.com/in/suhaimi-ramly/
James Vuong,Infina,https://www.linkedin.com/in/jameslvuong/
Aditya Haripurkar,HitPay,www.linkedin.com/in/adityaharipurkar
Nitin Muthyala,HitPay,http://linkedin.com/in/nitinmuthyala/
Dito Krista,Sirka,https://www.linkedin.com/in/dito-holanda/
Theodoric Chew,Intellect,https://linkedin.com/in/theodoricchew
Anurag Chutani,Intellect,https://www.linkedin.com/in/a7urag/
Liat Beng Neo,Arrow,https://www.linkedin.com/in/liatbeng/
Sudhan Raj,Arrow,https://www.linkedin.com/in/sudhan-raj/
Sebastian Roervig,Arrow,https://www.linkedin.com/in/sebastianroervig/
Bjorn Lee,MindFi,https://www.linkedin.com/in/bjornlee/
Gangeshwar Krishnamurthy,MindFi,https://www.linkedin.com/in/gangeshwark
Leon CK Leong,MindFi,https://www.linkedin.com/in/leonck/
Anita Sadasivan,MindFi,https://www.linkedin.com/in/anitasadasivan/
Deepak Garg,Warpfy,https://www.linkedin.com/in/deepak-garg-03675911/
Harris Cheng,Warpfy,https://www.linkedin.com/in/harrischeng/
Viet Long Tran,Dreamerly,https://www.linkedin.com/in/longvtran/
Thanh Nguyen,Dreamerly,https://www.linkedin.com/in/thanh-n-43467a3a/
Rick Firnando,Verihubs,https://www.linkedin.com/in/rickfirnando/
Jeroen Rutten,Tablevibe,https://www.linkedin.com/in/jeroen-rutten-60499921/
Guido Caldara,Tablevibe,https://www.linkedin.com/in/guidocaldara/
Mathieu Sneep,Tablevibe,http://linkedin.com/in/mathieusneep
Tamir Shklaz,Strive Math,https://www.linkedin.com/in/tamir-shklaz-32b446160/
Pulkit Agarwal,Strive Math,https://www.linkedin.com/in/agarwalpulkit/
Sourabh Deorah,Advantage Club,https://in.linkedin.com/in/sourabh-deorah-a4912b1a
Smiti Bhatt Deorah,Advantage Club,https://in.linkedin.com/in/smitibhattdeorah
Christian Mischler,Deskimo,https://www.linkedin.com/in/christianmischler
Raphael Cohen,Deskimo,https://www.linkedin.com/in/raphaelc/
Camille Ang,Hive Health,https://www.linkedin.com/in/camille-ang-19224647/
Jiawen Tang,Hive Health,https://www.linkedin.com/in/jiawentang/
Derek Low,Cococart,https://www.linkedin.com/in/dereklmy/
Zhicong (Z) Lim,Cococart,https://www.linkedin.com/in/zhiconglim/
Dzung Dang,Nano Technologies,https://www.linkedin.com/in/%F0%9F%94%AD-dzung-dang-1565425/
Thang Nguyen,Nano Technologies,https://www.linkedin.com/in/thang-nguyen-92620557/
Don Pansacola,NextPay,https://www.linkedin.com/in/donpansacola/
Aldrich Tan,NextPay,https://www.linkedin.com/in/aldricht/
Victor Rivera,Avion School,https://www.linkedin.com/in/victor-rivera-a87b70124/
John Young,Avion School,https://linkedin.com/in/work-john-young
Nirali Zaveri,Friz,http://www.linkedin.com/in/niralizaveri
Ash Rhazaly,Friz,https://www.linkedin.com/in/ashrhazaly
Phillip An,Homebase,https://www.linkedin.com/in/phillipan/
Jun Yuan Tan,Homebase,https://www.linkedin.com/in/jy-tan/
Nick Clarke,Greywing,https://www.linkedin.com/in/nick-j-clarke/
Hrishi Olickel,Greywing,https://www.linkedin.com/in/hrishioa
Terry Djony,FirstSupport.ai,https://www.linkedin.com/in/terry-djony
Benjamin Croc,BrioHR,https://www.linkedin.com/in/benjamin-croc-93669426/
Nabil Oudghiri,BrioHR,https://www.linkedin.com/in/nabil-oudghiri-870372b5
Bryan Giger,Dashlabs.ai,https://linkedin.com/in/gigerbytes
Martin Gomez,Dashlabs.ai,https://www.linkedin.com/in/martingomez168
Weston Coleman Lim,Dashlabs.ai,https://www.linkedin.com/in/weston-lim-b75327b9
Andy Hoang,Aviron Interactive,https://www.linkedin.com/in/andy-hoang-93067226/
Beenu Arora,Cyble,https://www.linkedin.com/in/beenu-arora-b5068412/
Manish Chachada,Cyble,https://www.linkedin.com/in/manish-r-chachada/
Pelle Braendgaard,Notabene,https://www.linkedin.com/in/pelleb/
Andres Junge,Notabene,https://www.linkedin.com/in/ajunge
Ania Lipinska,Notabene,https://www.linkedin.com/in/ania-lipinska/
Alice Nawfal,Notabene,https://www.linkedin.com/in/alicenawfal/
Rohit Taneja,Decentro,https://www.linkedin.com/in/rohit-taneja-69b30b13/
Joshua Wong,Hypotenuse AI,https://www.linkedin.com/in/jwonged/
Rajith Shaji,Volopay,https://www.linkedin.com/in/rajiths/
Rajesh Raikwar,Volopay,https://in.linkedin.com/in/rajeshraikwar
Dorothea Koh,Bot MD,https://www.linkedin.com/in/dotkoh
Yanchuan Sim,Bot MD,https://www.linkedin.com/in/yanchuan
Naga Tan,ErudiFi,https://www.linkedin.com/in/nagatan/
Susli Lie,ErudiFi,https://www.linkedin.com/in/susli/
Jonathan Weins,Pop Meals,https://www.linkedin.com/in/jonathanweins/
Chris Edelmann,Pop Meals,https://www.linkedin.com/in/christian-edelmann-we-are-hiring-27166531/
Jessica Li,Pop Meals,https://www.linkedin.com/in/jessicaykli/
Aschkan Abdul Malek,AlemHealth,https://www.linkedin.com/in/aschkan
Jeffrey Liu,Jenfi,https://www.linkedin.com/in/jeffreykliu/
Justin Louie,Jenfi,https://www.linkedin.com/in/nitsujri
Lennise Ng,borong,https://www.linkedin.com/in/lenniseng
Aizat Rahim,borong,https://www.linkedin.com/in/aizatrahim/
Haslinda Rasip,borong,https://www.linkedin.com/in/lindarasip/
Edria Albert,Pahamify,https://www.linkedin.com/in/edria-albert-38223341/
Syarif Rousyan Fikri,Pahamify,https://www.linkedin.com/in/syarif-rousyan-fikri-4b223851/
Mohammad Ikhsan,Pahamify,https://linkedin.com/in/mohammad-ikhsan-2a861a30
Prusothman Raja,twoplus fertility,https://www.linkedin.com/in/prusothman-sina-raja-93881440/
Benjamin Tee,twoplus fertility,https://linkedin.com/in/benjamintee
John Xie,Taskade,https://www.linkedin.com/in/johnxie/
Stan Chang Khin Boon,Taskade,https://www.linkedin.com/in/lxcid
Dionis Loire,Taskade,https://www.linkedin.com/in/dionis-loire-6000588
Febrianto Gamal,Eden Farm,https://www.linkedin.com/in/febrianto-gamal-3829b08b/
David Gunawan,Eden Farm,https://www.linkedin.com/in/dgunawan1
Ramavito Mountanio,Eden Farm,https://www.linkedin.com/in/ramavito-mountaino-12873a132/
Sandhya Sriram,Shiok Meats,https://www.linkedin.com/in/sandhyasriram/
Eugene Huang,Traverse Technologies,https://www.linkedin.com/in/eugenehuangsg/
Thet Lin Thu,Traverse Technologies,https://www.linkedin.com/in/thetlinthu/
LIU YI SHU,AllSome Fulfillment,https://www.linkedin.com/in/yishu-liu-61357217a
Ng Yi Ying,AllSome Fulfillment,http://www.linkedin.com/in/yi2ng2
Tianwei Liu,Xfers,https://www.linkedin.com/in/tianweiliu
Victor Liew Jia Hao,Xfers,https://www.linkedin.com/in/victorliewjiahao/
Paul Rivera,Kalibrr,https://ph.linkedin.com/in/paulvrivera
Danny Castonguay,Kalibrr,https://www.linkedin.com/in/dannycastonguay/
Dexter Ligot-Gordon,Kalibrr,https://www.linkedin.com/in/ligotgordon/
Mikee Villareal,MadEats,https://www.linkedin.com/in/mikeevillareal
Andie Cruz,MadEats,https://www.linkedin.com/in/andrea-cruz-a46155148
Keisha Lao,MadEats,http://linkedin.com/in/keisha-lao-8713681b0
Ed Chin,OctiFi,https://www.linkedin.com/in/echin6/
Amit Kumar,OctiFi,https://linkedin.com/in/sainiamit
Gabriel Lim,Saleswhale,http://sg.linkedin.com/pub/gabriel-lim/75/916/7a9
Ethan Le,Saleswhale,https://www.linkedin.com/in/ethan-le-16a4357/
Venus Wong,Saleswhale,https://www.linkedin.com/pub/venus-wong/10/b9b/8b9
Aditya Mehta,Suggestr,https://linkedin.com/in/mehta-aditya
Oleksii Sidorov,Suggestr,https://linkedin.com/in/sidorovoleksii
Isaac Donnelly,Cherry Recommends,https://au.linkedin.com/in/isaac-donnelly-126744109
Rian Finnegan,Cherry Recommends,https://www.linkedin.com/in/rian-finnegan/
Eunice Wong,Milky Way AI,https://linkedin.com/in/eunicewes
Sagar Setu,Milky Way AI,https://www.linkedin.com/in/sagarsetu/
Diego Rojas,Finantier,https://linkedin.com/in/diegolrojas
Keng Low,Finantier,https://www.linkedin.com/in/keng/
Edrick Guan,Meson,https://www.linkedin.com/in/edrick-yuhui-guan-913a3637/
Zehao Li,Meson,https://www.linkedin.com/in/zehao-li
Ye Xia,Maitian.ai,https://www.linkedin.com/in/ye-xia-340803135/
