Founder,Company,Age,Went to elite university,Major in Business,Major in Engineering,Completed Doctor Degree,Completed Master Degree,Completed Bachelor Degree,Master in Engineering,Master in Business,Doctor in Engineering,Doctor in Business,Role in Product/Engineering,Role in Business/Marketing/Comm,Role in Finance,Work at MNC,Work at Entrepreneurial Company,Work at National Company,Work at a company,Work as High Level,Work as Manager,Work as Intern
hamed_fesharaki,adra,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
hansel_hansel,materee,34,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0
harris_cheng,warpfy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
haslinda_rasip,borong,47,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0
hendra_kwik,fazz,34,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1
henri_suhardja,titipku,23,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
hrishi_olickel,greywing,33,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0
isaac_donnelly,cherry_recommends,34,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0
isaq_ahmed_mukthar,spenmo,43,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0
ivan_darmawan,bakool,30,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0
ivo_verhaegh,powerhouse_ai,39,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1
jacky_lai,peeba,37,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
james_vuong,infina,49,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0
jeffrey_liu,jenfi,39,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0
jefriyanto,fazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeroen_rutten,tablevibe,35,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0
jessica_li,pop_meals,37,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0
jiawen_tang,hive_health,31,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1
john_xie,taskade,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0
john_young,avion_school,21,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
jonathan_low,ajourney,38,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0
jonathan_weins,pop_meals,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0
josh_supan,shipmates,34,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
joshua_wong,hypotenuse_ai,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0
juan_gonzalez,xendit,33,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1
jun_yuan_tan,homebase,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0
justin_louie,jenfi,41,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0
keisha_lao,madeats,29,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
keng_low,finantier,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
khairul_anwar_mohamad_zaki,pandai,44,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1
kristian_f_h_sinaulan,bananas,38,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0
kushal_pillay,powerhouse_ai,31,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1
larry_ridwan,fresh_factory,43,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0
lennise_ng,borong,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0
leon_ck_leong,mindfi,39,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0
liat_beng_neo,arrow,31,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0
liu_yi_shu,allsome_fulfillment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luis_sia,paymongo,23,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
madhu_g_nadig,flagright,28,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0
manish_chachada,cyble,24,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0
marc_allen,unravel_carbon,49,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0
mario_gaw,bananas,38,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0
mathieu_sneep,tablevibe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matt_schiller,snappr,42,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0
michael_rendy_haryadi_tanuwidjaja,super,39,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
mikee_villareal,madeats,30,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0
mohammad_ikhsan,pahamify,35,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0
mohandass_kalaichelvan,spenmo,31,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0
moses_lo,xendit,36,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0
nabil_oudghiri,briohr,27,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0
nadia_amalia,sribuu,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0
naga_tan,erudifi,33,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0
ng_yi_ying,allsome_fulfillment,36,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0
nick_clarke,greywing,42,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0
nicolas_ramsay,circular,41,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0
nirali_zaveri,friz,31,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1
nitin_muthyala,hitpay,33,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1
oleksii_sidorov,suggestr,29,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1
ong_tek_tjan,titipku,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0
pantha_roy,circular,40,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
paul_rivera,kalibrr,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0
pelle_braendgaard,notabene,50,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0
phil_opamuratawongse,shipper,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
philip_moniaga,finnix,32,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0
phillip_an,homebase,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1
phuoc_tran,anfin,35,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1
prawira_indrawan,proglix,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
prusothman_raja,twoplus_fertility,35,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0
pulkit_agarwal,strive_math,35,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1
quan_nguyen,gimo,35,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0
raimie_tang,metafi,22,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
rajesh_raikwar,volopay,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
rajith_shaji,volopay,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
ramavito_mountanio,eden_farm,35,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0
raphael_cohen,deskimo,38,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0
rasmus_chow,power_to_the_brand,31,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
reinaldo_tendean,finku,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1
reinhart_hermanus,finnix,22,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1
rian_finnegan,cherry_recommends,34,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1
rick_firnando,verihubs,31,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0
ricky_winata,fazz,34,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
robert_huynh,reforged_labs,31,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
rohit_taneja,decentro,34,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1
sagar_setu,milky_way_ai,34,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0
sandhya_sriram,shiok_meats,39,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0
saurabh_chauhan,peakflo,32,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1
sebastian_roervig,arrow,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0
sebastian_yaphy,finnix,40,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0
shawn_liam,atlas,36,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0
shyam_kalairajah,finku,27,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1
shylla_pramadhani,finku,29,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1
sinan_ismail,durioo,25,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
smiti_bhatt_deorah,advantage_club,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1
sourabh_deorah,advantage_club,36,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1
stan_chang_khin_boon,taskade,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0
stephanie_wongsoredjo,bakool,29,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0
steven_walentino,materee,27,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1
steven_wongsoredjo,super,32,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
sudhan_raj,arrow,40,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0
suhaimi_ramly,pandai,41,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
susli_lie,erudifi,41,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0
syarif_rousyan_fikri,pahamify,30,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1
tamir_shklaz,strive_math,32,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0
terry_djony,firstsupport.ai,23,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1
thang_nguyen,nano_technologies,35,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0
thanh_nguyen,dreamerly,31,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1
theodoric_chew,intellect,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
thet_lin_thu,traverse_technologies,36,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0
thomas_jiang,ajourney,31,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1
tianwei_liu,xfers,33,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1
tri_ahmad_irfan,tazkerai,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0
tung_tran,marathon_education,40,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0
van_tran,poko,26,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0
vasco_pedro,unbabel,47,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1
victor_liew_jia_hao,xfers,38,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1
victor_rivera,avion_school,27,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1
viet_long_tran,dreamerly,31,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1
wafa_taftazani,upbanx,34,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0
wan_aizuddin,yezza,33,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0
wendy_wijaya,proglix,31,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
widijastoro_nugroho,fresh_factory,53,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0
willis_wee,tech_in_asia,35,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1
wynn_wijaya,proglix,31,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1
